"","month","day","year","missing_var","s.mean","s.SD","p.GT.5","p.GT.25","p.GT.1","lag"
"37","08","01","2012","SST",0.0322613520700752,5.07012023332694e-06,0.000386518243661101,0.010899814471243,0.102968460111317,1
"38","08","01","2012","SST",0.0339767911225782,5.61742329068963e-06,0.00100494743351886,0.0156153370439085,0.105596784168213,7
"39","08","01","2012","SST",0.0412651169088488,6.06198277307155e-06,0.00162337662337662,0.0199443413729128,0.152674706246135,14
"40","08","01","2012","SST",0.0411761123918763,6.27479540781661e-06,0.00139146567717996,0.022108843537415,0.150974025974026,21
"41","08","01","2012","SST",0.043376786660312,6.53870180079293e-06,0.0015460729746444,0.0255102040816327,0.164811379097093,28
"42","08","01","2012","SST",0.0416667680402447,6.49477708754715e-06,0.00255102040816327,0.0207946815089672,0.152983920841064,30
"43","08","01","2012","CHLA",0.0374268025820782,7.2521901974084e-06,0,0.0422077922077922,0.125773036487322,1
"44","08","01","2012","CHLA",0.0412353666987511,7.64079713995994e-06,7.73036487322202e-05,0.0488559059987631,0.139919604205318,7
"45","08","01","2012","CHLA",0.0443859612565466,7.68073616585505e-06,7.73036487322202e-05,0.0504019789734075,0.167594310451453,14
"46","08","01","2012","CHLA",0.038817552602985,7.48201045509502e-06,0.00015460729746444,0.0441403834260977,0.143011750154607,21
"47","08","01","2012","CHLA",0.0515552759474706,8.25536280554609e-06,7.73036487322202e-05,0.0688775510204082,0.192717996289425,28
"48","08","01","2012","CHLA",0.0522304770435962,8.13348661835678e-06,0.00023191094619666,0.0660946196660482,0.197356215213358,30
"49","08","01","2012","EKE",0.00686666214511543,1.19716763497659e-06,0,0,0.00200989486703772,1
"50","08","01","2012","EKE",0.0106863214553579,1.8452973772482e-06,0,0,0.00773036487322202,7
"51","08","01","2012","EKE",0.0146747762172607,2.61638762038261e-06,0,0.00015460729746444,0.0247371675943105,14
"52","08","01","2012","EKE",0.0169773312895056,3.0498831229318e-06,0,0.000773036487322202,0.0364873222016079,21
"53","08","01","2012","EKE",0.0184266825299341,3.32655607355344e-06,0,0.00139146567717996,0.0444495980210266,28
"54","08","01","2012","EKE",0.0195662512286937,3.41889774177443e-06,0,0.00170068027210884,0.0482374768089054,30
"55","08","01","2012","YWIND",0.0117179081592091,1.53345677261764e-06,0,7.73036487322202e-05,0.00371057513914657,1
"56","08","01","2012","YWIND",0.0185914793609618,2.40436759610797e-06,0,7.73036487322202e-05,0.0235003092145949,7
"57","08","01","2012","YWIND",0.0188673532325253,2.47488543296841e-06,0,7.73036487322202e-05,0.0263605442176871,14
"58","08","01","2012","YWIND",0.0142666914726957,1.94478307284029e-06,0,0,0.0123685837971552,21
"59","08","01","2012","YWIND",0.0158398214854469,1.74020669990841e-06,0,7.73036487322202e-05,0.00695732838589981,28
"60","08","01","2012","YWIND",0.0142929537845941,1.61758505095515e-06,0,0,0.00417439703153989,30
