"","month","day","year","missing_var","s.mean","s.SD","p.GT.5","p.GT.25","p.GT.1"
"10","08","01","2012","SST",0.0577502723083824,7.43757842818661e-06,0.00108225108225108,0.0521799628942486,0.225726654298083
"11","08","01","2012","SST_both",0.11505139767277,1.24545494923644e-05,0.030534941249227,0.205241187384045,0.373222016079159
"12","08","01","2012","SST_SD",0.101828689106044,8.69263373285827e-06,0.00286023500309215,0.168985776128633,0.397572665429808
"13","08","01","2012","CHLA",0.0430888059145355,7.54208822349859e-06,0,0.0495516388373531,0.146258503401361
"14","08","01","2012","EKE",0.0337256093130708,3.72236682588984e-06,0,0.00185528756957328,0.112863327149041
"15","08","01","2012","ywind",0.050586666686847,6.48632220489071e-06,0,0.0350185528756957,0.207946815089672
"16","08","01","2012","SLA",0.159836941440089,1.08113579485331e-05,0.04282622139765,0.365337043908472,0.449056895485467
"17","08","01","2012","SLA_both",0.238040251681331,1.54044483830964e-05,0.269557823129252,0.416357452071738,0.466295609152752
"18","08","01","2012","SLA_SD",0.198624753665633,1.03522062646621e-05,0.124768089053803,0.423933209647495,0.478586889301175
"19","08","02","2012","SST",0.059427453404815,7.69926277157869e-06,0.00100494743351886,0.0579777365491651,0.23399814471243
"20","08","02","2012","SST_both",0.116876146874027,1.24263137404752e-05,0.031617192331478,0.210265924551639,0.378942486085343
"21","08","02","2012","SST_SD",0.101793450992988,8.72143386596438e-06,0.00363327149041435,0.166666666666667,0.399582560296846
"22","08","02","2012","CHLA",0.0435049873623825,7.58177108683401e-06,0,0.0531849103277675,0.145485466914038
"23","08","02","2012","EKE",0.0310471798775108,3.79085096199377e-06,0,0.00185528756957328,0.101035868893012
"24","08","02","2012","ywind",0.0532836949002706,6.77042901879089e-06,0,0.0398886827458256,0.222093382807669
"25","08","02","2012","SLA",0.158708415050102,1.08371934498977e-05,0.0424397031539889,0.360235003092146,0.451685219542362
"26","08","02","2012","SLA_both",0.233829378820296,1.5249415472278e-05,0.260899814471243,0.414888682745826,0.465213358070501
"27","08","02","2012","SLA_SD",0.198852730554881,1.04460425211692e-05,0.129019789734075,0.422232529375387,0.480132962275819
"28","08","03","2012","SST",0.0609955012163082,8.08651457460261e-06,0.0019325912183055,0.0646258503401361,0.237012987012987
"29","08","03","2012","SST_both",0.113663303436468,1.2469467564453e-05,0.0318491032776747,0.199288806431664,0.373531230674088
"30","08","03","2012","SST_SD",0.1072225050713,8.63469005430598e-06,0.00510204081632653,0.1852195423624,0.41017316017316
"31","08","03","2012","CHLA",0.0433220779925867,7.46528906163502e-06,0,0.0539579468150897,0.143398268398268
"32","08","03","2012","EKE",0.0311918638048928,3.80396809243194e-06,0,0.00216450216450216,0.10095856524428
"33","08","03","2012","ywind",0.0561446608677933,7.01966326010434e-06,0,0.0464594928880643,0.236008039579468
"34","08","03","2012","SLA",0.157533482098639,1.03140966293877e-05,0.0395021645021645,0.356679035250464,0.460111317254174
"35","08","03","2012","SLA_both",0.238626700425662,1.53383355019344e-05,0.274505256648114,0.41782622139765,0.466372912801484
"36","08","03","2012","SLA_SD",0.203001659166693,1.02625881129777e-05,0.139764996907854,0.431663574520717,0.480828695114409
"37","08","04","2012","SST",0.0597225120059755,7.75888712159654e-06,0.00139146567717996,0.0570500927643785,0.237786023500309
"38","08","04","2012","SST_both",0.112293974425023,1.24724339345085e-05,0.0294526901669759,0.195500927643785,0.367501546072975
"39","08","04","2012","SST_SD",0.110171925208481,8.31230371802924e-06,0.00541125541125541,0.189935064935065,0.424165120593692
"40","08","04","2012","CHLA",0.0392822255087416,6.72360835870613e-06,0,0.0294526901669759,0.136363636363636
"41","08","04","2012","EKE",0.03133722170437,3.64997309371417e-06,0,0.00177798392084106,0.099025974025974
"42","08","04","2012","ywind",0.0570802353034057,7.0381724321777e-06,0,0.0479282622139765,0.24373840445269
"43","08","04","2012","SLA",0.167109713274918,1.00438243862935e-05,0.0457637600494743,0.388373531230674,0.46482683982684
"44","08","04","2012","SLA_both",0.239471111264446,1.5184495045871e-05,0.278679653679654,0.418908472479901,0.46830550401979
"45","08","04","2012","SLA_SD",0.198300341103384,1.01822647177063e-05,0.118893011750155,0.427798392084106,0.477891156462585
"46","08","05","2012","SST",0.0593549126421455,7.52354029633306e-06,0.000927643784786642,0.055117501546073,0.238327149041435
"47","08","05","2012","SST_both",0.11058378655377,1.24868804695903e-05,0.0296072974644403,0.191713048855906,0.362167594310451
"48","08","05","2012","SST_SD",0.110527326713042,8.35987636907108e-06,0.00595238095238095,0.190166975881262,0.427179962894249
"49","08","05","2012","CHLA",0.0372697083155816,6.5658075915347e-06,0,0.0262832405689549,0.134431045145331
"50","08","05","2012","EKE",0.0360978071393972,3.73661051940886e-06,0,0.0019325912183055,0.127860235003092
"51","08","05","2012","ywind",0.0547631022593571,6.800396598792e-06,0,0.0412801484230056,0.232761286332715
"52","08","05","2012","SLA",0.168821604564645,1.00042505353789e-05,0.0460729746444032,0.392702535559678,0.465909090909091
"53","08","05","2012","SLA_both",0.235636395060132,1.5015007671439e-05,0.271645021645022,0.417439703153989,0.465754483611626
